# Instantané du corpus au 8 août 2026 — 60 communes couvertes.
# Les sept premières sont celles du livre (cf. communes_a_collecter.csv) ;
# les autres ont été collectées depuis l atelier pour éprouver l interface.
#
#   py -X utf8 src/observer.py --csv data/corpus_actuel.csv
#
code;motif
15003;Ally (15)
17415;Saintes (17)
22266;Rostrenen (22)
28006;Amilly (28)
28022;Bailleau-l'Évêque (28)
28034;Berchères-Saint-Germain (28)
28060;Briconville (28)
28068;Challet (28)
28070;Champhol (28)
28100;Cintray (28)
28102;Clévilliers (28)
28104;Coltainville (28)
28163;Fresnay-le-Gilmert (28)
28173;Gasville-Oisème (28)
28201;Jouy (28)
28048;La Bourdinière-Saint-Loup (28)
28209;Lèves (28)
28229;Mainvilliers (28)
28301;Poisvilliers (28)
28325;Saint-Aubin-des-Bois (28)
28358;Saint-Prest (28)
28379;Soulaires (28)
46040;Cabrerets (46)
69268;Vourles (69)
81009;Amarens (81)
81034;Boissezon (81)
81035;Bournazel (81)
81068;Combefa (81)
81069;Cordes-sur-Ciel (81)
81080;Donnazac (81)
81095;Frausseilles (81)
81108;Itzac (81)
81111;Labarthe-Bleys (81)
81123;Lacapelle-Ségalar (81)
81135;Laparrouquial (81)
81224;Le Riols (81)
81280;Le Ségur (81)
81045;Les Cabannes (81)
81146;Livers-Cazelles (81)
81148;Loubers (81)
81154;Marnaves (81)
81165;Milhars (81)
81170;Monestiés (81)
81184;Montrosier (81)
81191;Mouzieys-Panens (81)
81196;Noailhac (81)
81197;Noailles (81)
81209;Pont-de-Larn (81)
81245;Saint-Christophe (81)
81262;Saint-Marcel-Campes (81)
81263;Saint-Martin-Laguépie (81)
81269;Saint-Salvy-de-la-Balme (81)
81326;Sainte-Croix (81)
81275;Salles (81)
81290;Souel (81)
81300;Tonnac (81)
81304;Trévien (81)
81320;Vindrac-Alayrac (81)
81322;Virac (81)
82125;Montech (82)
