code_insee;commune;dept;derniere_complete;age_mois;nb_parametres_complete;nb_controles_depuis;dernier_controle;nb_depassements;nb_abandonnes_24m;nb_jamais_recherches;abandonnes
04107;Majastres;04;2016-04-05;124;480;43;2026-03-25;0;0;0;
09133;Génat;09;2016-07-18;121;323;41;2026-02-18;0;0;0;
28284;Oinville-Saint-Liphard;28;2016-09-09;119;652;34;2026-04-03;4;3;3;Total des pesticides analysés (119 mois) | Atrazine déséthyl (119 mois) | Atrazine (119 mois)
28313;Réclainville;28;2016-09-29;119;652;41;2026-05-19;4;3;0;Total des pesticides analysés (71 mois) | Atrazine déséthyl (71 mois) | Atrazine (71 mois)
68092;Fislis;68;2017-05-29;111;238;68;2026-05-04;1;0;0;
28121;Dambron;28;2017-07-11;109;651;36;2026-05-18;2;1;0;Atrazine déséthyl (70 mois)
65239;Labastide;65;2017-11-20;105;289;155;2026-05-26;2;0;0;
28172;Gas;28;2018-01-25;103;661;70;2026-04-22;4;4;4;Atrazine déséthyl (103 mois) | OXA metazachlore (103 mois) | ESA metazachlore (103 mois) | Total des pesticides analysés (103 mois)
28411;Villars;28;2018-02-22;102;639;34;2026-04-09;2;2;1;Atrazine déséthyl déisopropyl (102 mois) | Atrazine déséthyl (66 mois)
28283;Nottonville;28;2018-03-08;101;657;30;2026-04-07;7;5;1;Atrazine déséthyl déisopropyl (101 mois) | Atrazine (95 mois) | Total des pesticides analysés (95 mois) | ESA alachlore (95 mois) | Atrazine déséthyl (95 mois)
28400;Varize;28;2018-04-24;100;638;28;2026-05-27;6;4;1;Atrazine déséthyl déisopropyl (100 mois) | ESA alachlore (85 mois) | Atrazine déséthyl (85 mois) | Total des pesticides analysés (85 mois)
07006;Albon-d'Ardèche;07;2018-04-26;100;266;189;2026-06-11;2;0;0;
07142;Lespéron;07;2018-05-31;99;266;137;2026-06-26;1;0;0;
28215;Louville-la-Chenard;28;2018-08-31;96;656;31;2026-04-01;5;3;0;ESA metolachlore (90 mois) | Total des pesticides analysés (83 mois) | Atrazine déséthyl (83 mois)
28319;Neuville Saint Denis;28;2018-10-16;94;656;70;2026-05-22;4;2;0;Atrazine déséthyl (34 mois) | Total des pesticides analysés (34 mois)
07095;Gilhoc-sur-Ormèze;07;2018-10-09;94;266;147;2026-06-26;2;0;0;
28300;Poinville;28;2018-10-16;94;656;25;2026-05-18;3;1;1;Atrazine déséthyl (94 mois)
31015;Argut-Dessous;31;2019-01-08;91;286;53;2026-02-26;0;0;0;
82122;Montbarla;82;2019-03-04;89;292;34;2026-01-06;1;1;0;ESA metolachlore (68 mois)
07025;Barnas;07;2019-03-04;89;266;140;2026-04-02;1;0;0;
07290;Saint-Prix;07;2019-03-04;89;266;94;2026-06-12;0;0;0;
04175;Sainte-Croix-à-Lauze;04;2019-04-19;88;759;36;2026-06-03;1;0;0;
05066;La Haute-Beaume;05;2019-07-05;85;242;62;2026-03-20;2;0;0;
12099;Fayet;12;2020-03-02;77;344;109;2026-05-06;0;0;0;
48111;Pelouse;48;2020-03-04;77;342;59;2026-05-04;0;0;0;
48021;La Bastide-Puylaurent;48;2020-05-26;75;341;102;2026-06-11;0;0;0;
28367;Santilly;28;2020-06-19;74;330;22;2026-04-29;3;1;0;Atrazine déséthyl (70 mois)
48165;Saint-Laurent-de-Muret;48;2020-06-08;74;340;172;2026-06-02;1;0;0;
48003;Allenc;48;2020-08-24;72;340;180;2026-05-07;1;0;0;
09044;Baulou;09;2020-09-08;71;337;63;2026-05-07;2;0;0;
28057;Bouville;28;2020-11-27;69;346;52;2026-03-31;4;2;0;Total des pesticides analysés (32 mois) | Atrazine déséthyl (32 mois)
28426;Ymonville;28;2020-11-26;69;281;34;2026-05-07;4;4;1;Atrazine (69 mois) | Atrazine déséthyl déisopropyl (69 mois) | Atrazine déséthyl (69 mois) | Total des pesticides analysés (69 mois)
