code_insee;commune;dept;statut;commune_prelevement;date_derniere_complete;mois_ecoules;nb_parametres;nb_controles_depuis;dernier_controle;mediane_taille_controle;nb_depassements_alors;substances_abandonnees;detail_abandons
69102;Joux;69;analysee;;2016-04-13;124;226;59;2026-03-05;21;0;0;
65400;Salles;65;analysee;;2016-05-11;123;287;69;2026-04-15;17;0;0;
09227;Péreille;09;analysee;;2016-05-17;122;327;60;2026-04-16;17;0;0;
09133;Génat;09;analysee;;2016-07-18;120;323;41;2026-02-18;18;1;0;
09222;Orus;09;analysee;;2016-07-18;120;324;40;2026-04-08;18;0;0;
28284;Oinville-Saint-Liphard;28;analysee;;2016-09-09;119;651;34;2026-04-03;18;4;3;Atrazine (dernière mesure jamais depuis) | Atrazine déséthyl (dernière mesure jamais depuis) | Total des pesticides analysés (dernière mesure jamais depuis)
09228;Perles-et-Castelet;09;analysee;;2016-09-06;119;323;40;2026-04-09;18;0;0;
09330;Vernaux;09;analysee;;2016-09-06;119;323;40;2026-03-19;18;0;0;
28313;Réclainville;28;analysee;;2016-09-29;118;651;41;2026-05-19;18;4;3;Atrazine (dernière mesure 2020-09-11, 71 mois) | Atrazine déséthyl (dernière mesure 2020-09-11, 71 mois) | Total des pesticides analysés (dernière mesure 2020-09-11, 71 mois)
09090;Cazaux;09;analysee;;2016-12-06;116;324;85;2026-05-13;17;0;0;
09088;Caychax-et-Senconac;09;analysee;;2017-05-09;111;323;61;2026-04-09;18;0;0;
09064;Bouan;09;analysee;;2017-07-03;109;324;37;2026-05-11;18;0;0;
28121;Dambron;28;analysee;;2017-07-11;109;650;36;2026-05-18;18;2;1;Atrazine déséthyl (dernière mesure 2020-10-08, 70 mois)
09263;Saint-Jean-du-Castillonnais;09;analysee;;2017-07-03;109;324;43;2026-05-07;18;0;0;
65055;Ayros-Arbouix;65;rattachee_reseau;Préchac;2017-09-07;107;289;122;2026-05-13;17;0;0;
65371;Préchac;65;analysee;;2017-09-07;107;289;47;2026-04-16;17;0;0;
09262;Saint-Jean-d'Aigues-Vives;09;analysee;;2017-09-05;107;324;62;2025-12-01;18;0;0;
65467;Vier-Bordes;65;rattachee_reseau;Préchac;2017-09-07;107;289;135;2026-05-21;17;0;0;
31430;Ponlat-Taillebourg;31;analysee;;2017-09-26;106;292;20;2026-01-28;19;0;0;
71520;Sevrey;71;analysee;;2017-11-09;105;680;55;2026-01-26;20;0;0;
65239;Labastide;65;analysee;;2017-11-20;104;289;155;2026-05-26;17;3;0;
09070;Les Cabannes;09;rattachee_reseau;Aulos-Sinsat;2017-11-20;104;323;27;2026-02-04;18;0;0;
