# Catalogue des paramètres réellement mesurés par le contrôle sanitaire.
# Récolté le 2026-08-07 sur Hub'Eau qualite_eau_potable/resultats_dis,
# à partir des derniers bulletins complets (> 250 paramètres)
# de 8 commune(s) par département, départements 17,31,28,51.
# limite_declaree = limite_qualite_parametre telle que fournie par la source :
# c'est la grille D'AUJOURD'HUI, pas un seuil daté. Voir CLAUDE.md §2.5 et §2.7.
# Reproductible : python3 src/catalogue_parametres.py --depts 17,31,28,51 --communes 8
code_parametre;libelle_parametre;libelle_norm;code_cas;unite;limite_declaree;reference_declaree;nb_mesures;nb_bulletins;departements;variantes_libelle
1302;pH;ph;;unité pH;;>=6,5 et <=9 unité pH;48;32;17|28|31|51;
1303;Conductivité à 25°C;conductivite a 25c;;µS/cm;;>=200 et <=1100 µS/cm;34;27;17|28|31|51;
1929;1-(3,4-dichlorophényl)-3-méthylurée;1-(3,4-dichlorophenyl)-3-methyluree;3567-62-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1930;1-(3,4-dichlorophényl)-urée;1-(3,4-dichlorophenyl)-uree;2327-02-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1141;2,4-D;2,4-d;94-75-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1212;2,4-MCPA;2,4-mcpa;94-74-6;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2011;2,6 Dichlorobenzamide;2,6 dichlorobenzamide;2008-58-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1688;Aclonifen;aclonifen;74070-46-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
5579;Acétamiprid;acetamiprid;135410-20-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1903;Acétochlore;acetochlore;34256-82-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1101;Alachlore;alachlore;15972-60-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2012;Amidosulfuron;amidosulfuron;120923-37-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2013;Anthraquinone (pesticide);anthraquinone (pesticide);84-65-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1107;Atrazine;atrazine;1912-24-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
3160;Atrazine déisopropyl-2-hydroxy;atrazine deisopropyl-2-hydroxy;7313-54-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1108;Atrazine déséthyl;atrazine desethyl;6190-65-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1830;Atrazine déséthyl déisopropyl;atrazine desethyl deisopropyl;3397-62-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
3159;Atrazine déséthyl-2-hydroxy;atrazine desethyl-2-hydroxy;19988-24-0;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1832;Atrazine-2-hydroxy;atrazine-2-hydroxy;2163-68-0;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1109;Atrazine-déisopropyl;atrazine-deisopropyl;1007-28-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1951;Azoxystrobine;azoxystrobine;131860-33-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1113;Bentazone;bentazone;25057-89-0;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
5526;Boscalid;boscalid;188425-85-6;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1686;Bromacil;bromacil;314-40-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1860;Bromuconazole;bromuconazole;116255-48-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1129;Carbendazime;carbendazime;10605-21-7;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1333;Carbétamide;carbetamide;16118-49-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1133;Chloridazone;chloridazone;1698-60-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1136;Chlortoluron;chlortoluron;15545-48-9;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2017;Clomazone;clomazone;81777-89-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2729;Cycloxydime;cycloxydime;101205-02-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1140;Cyperméthrine;cypermethrine;52315-07-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1680;Cyproconazol;cyproconazol;94361-06-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1359;Cyprodinil;cyprodinil;121552-61-2;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2737;Desmethylnorflurazon;desmethylnorflurazon;23576-24-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2738;Desméthylisoproturon;desmethylisoproturon;34123-57-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1169;Dichlorprop;dichlorprop;120-36-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1814;Diflufénicanil;diflufenicanil;83164-33-4;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1905;Difénoconazole;difenoconazole;119446-68-3;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
2546;Dimétachlore;dimetachlore;50563-36-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1403;Diméthomorphe;dimethomorphe;110488-70-5;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1678;Diméthénamide;dimethenamide;87674-68-8;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1176;Dinoterbe;dinoterbe;1420-07-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
1177;Diuron;diuron;330-54-1;µg/L;<=0,1 µg/L;;32;32;17|28|31|51;
