code_parametre;libelle_norm;quoi;usage;molecule_mere;statut_autorisation;sources;fiabilite
# ===========================================================================
# IDENTITÉ DES SUBSTANCES — ce qu'une molécule EST, et rien d'autre.
#
# Le répertoire des substances dit ce que le corpus a cherché, trouvé et
# comparé. Tout cela sort d'une requête. Ce fichier-ci porte la seule chose
# qu'aucune requête ne peut rendre : ce que la molécule est, à quoi sa mère
# sert, et si elle est encore autorisée.
#
# TROIS RÈGLES, ET ELLES NE SE DÉDUISENT PAS DU FORMAT
#
# 1. UNE LIGNE = UNE SOURCE LUE. Le §2.7 s'applique entier. Pas d'analogie de
#    famille : « c'est un métabolite de chloroacétanilide, donc c'est un
#    herbicide maïs » n'est pas une source, c'est une déduction. Une ligne sans
#    source n'existe pas — on laisse la molécule sans identité, et le
#    répertoire n'affiche alors rien plutôt qu'une phrase plausible.
#
# 2. CE FICHIER N'ENTRE DANS AUCUNE EMPREINTE, ET C'EST VOULU. Ni celle du
#    référentiel (`figer.version_referentiel()` ne prend que
#    referentiel_seuils, alias_parametres, regles_famille, hors_perimetre), ni
#    celle du moteur (`figer.py`, `build_db.py`, `common.py`). Il est lu par la
#    couche de SORTIE — `sortie/identite.py` —, sur le modèle de
#    `referentiel/indicateurs.csv`. Une phrase d'identification ne décide
#    d'aucun verdict : la charger dans `build_db.py` forcerait un refigeage
#    complet de plusieurs heures pour un texte qui ne change pas un chiffre.
#
# 3. LE STATUT D'AUTORISATION EST UN SEUIL COMME UN AUTRE — il porte une date
#    ou il est faux (§2.5). « Interdite » ne se dit pas : on écrit ce que le
#    texte dit, avec sa date. Et une interdiction d'usage n'est pas une absence
#    dans l'eau : les métabolites d'une molécule retirée en 2004 se mesurent
#    encore aujourd'hui.
#
# COLONNES
#
#   code_parametre        code SANDRE — la clé, quand la molécule en a un
#   libelle_norm          clé de repli, libellé normalisé par common.norm()
#   quoi                  ce que la molécule EST, une phrase, sans jugement
#   usage                 à quoi sert la molécule mère, ou elle-même
