code_parametre;code_cas;libelle;famille;unite;seuil_2016;seuil_2026;date_applicabilite_2026;seuil_conditionnel;condition_seuil;statut_2026;seuil_futur;date_applicabilite_futur;seuil_strict;base_seuil_strict;pe_reglementaire;pe_scientifique;sources;fiabilite;est_agregat;cancerogenicite_circ
8847;;Somme de 20 substances perfluoroalkylees (PFAS);PFAS;µg/L;;0.10;2023-01-01;;;limite;;;0.100;Allemagne TrinkwV Anlage 2, somme PFAS-20 a 0,100 ug/L depuis le 12/01/2026. AUCUN pays plus strict sur la somme large : Danemark 0,100 (sur 22 substances), Suede 0,100 (sur 21), UE 0,100. L axe international ne mord pas sur ce parametre;non;suspecte (litterature);REG-03|PFAS-06;verifie;oui;
9268;;Somme de 4 substances perfluoroalkylees (PFOA+PFNA+PFHXS+PFOS);PFAS;µg/L;;;;;;vigilance;;;0.002;Danemark BEK nr 1272 du 31/10/2025, Bilag 1 litt. b notes 18-19, en vigueur au 01/12/2025 : 2 ng/L, limite opposable au robinet, isomeres lineaires et ramifies. Le plus strict identifie (Suede 4 ng/L, Allemagne 20 ng/L au 12/01/2028);non;suspecte (litterature);PFAS-05;verifie;oui;
5347;;PFOA - acide perfluorooctanoique;PFAS;µg/L;;;;;;dans somme;;;0.004;US EPA MCL 4 ng/L (2024);non;suspecte (litterature);PFAS-03;verifie;non;
6561;;PFOS - acide perfluorooctanesulfonique;PFAS;µg/L;;;;;;dans somme;;;0.004;US EPA MCL 4 ng/L (2024);non;suspecte (litterature);PFAS-03;verifie;non;
6830;;PFHxS - acide perfluorohexanesulfonique;PFAS;µg/L;;;;;;dans somme;;;0.010;US EPA MCL 10 ng/L, 40 CFR 141.61(c), en vigueur au 07/08/2026. MCLG egalement 10 ng/L (le zero ne vise que PFOA et PFOS). ABROGATION EN PROJET : FR 2026-10085 du 20/05/2026, action finale annoncee pour 09/2026 - A REVERIFIER;non;suspecte (litterature);PFAS-07|PFAS-08;verifie;non;
6508;;PFNA - acide perfluorononanoique;PFAS;µg/L;;;;;;dans somme;;;0.010;US EPA MCL 10 ng/L, 40 CFR 141.61(c), en vigueur au 07/08/2026. MCLG egalement 10 ng/L (le zero ne vise que PFOA et PFOS). ABROGATION EN PROJET : FR 2026-10085 du 20/05/2026, action finale annoncee pour 09/2026 - A REVERIFIER;non;suspecte (litterature);PFAS-07|PFAS-08;verifie;non;
;;Pesticide - substance individuelle;pesticide;µg/L;0.10;0.10;;;;limite;;;0.10;Limite UE pesticide (zero de substitution);non;a_documenter;REG-01;verifie;non;
;;Pesticide - aldrine dieldrine heptachlore;pesticide;µg/L;0.030;0.030;;;;limite (par SUBSTANCE individuelle, pas pour la somme);;;0.030;Directive 2020/2184 annexe I partie B, note au parametre Pesticides : aldrine, dieldrine, heptachlore et heptachlorepoxyde a 0,030 ug/L. Quatre substances exactement;non;a_documenter;REG-01|REG-06;verifie;non;
6276;;Pesticides totaux;pesticide;µg/L;0.50;0.50;;;;limite;;;0.50;Limite UE pesticides totaux;non;a_documenter;REG-01;verifie;oui;
1340;;Nitrates (en NO3);nitrates;mg/L;50.0;50.0;;;;limite;;;10.0;Repere nourrisson FR - eaux embouteillees mention nourrissons (arrete 14/03/2007);non;non;REG-01|REG-03;verifie;non;
